lng,lat,maydoni,narxi
69.1489148,41.3560707,123.5,155750.0
69.154116,41.2630748,94.0,85000.0
69.155375,41.256626,93.66666666666667,53666.666666666664
69.1566894,41.3178861,63.333333333333336,37344.444444444445
69.1576663,41.2821153,81.26086956521739,50782.608695652176
69.1601855,41.3059159,85.0,52500.0
69.1602624,41.2654467,66.034,48840.0
69.1619116,41.2942023,85.0,45000.0
69.162198,41.260048,76.37837837837837,48610.81081081081
69.1634633,41.2627949,61.0,51500.0
69.1638237,41.2606228,77.53842105263158,50784.21052631579
69.1640609,41.2819493,80.0,36000.0
69.164452,41.297802,95.0,39000.0
69.1647666,41.262123,65.5,43708.333333333336
69.165259,41.343321,78.0,48000.0
69.1654401,41.2985463,65.0,33000.0
69.1654767,41.287777,69.5,47000.0
69.1660888,41.2871464,56.0,40500.0
69.1670599,41.2701173,70.0,50000.0
69.1670599,41.2797359,67.0,46509.78431372549
69.167754,41.2459068,60.0,47000.0
69.167805,41.3345513,68.25,39000.0
69.1687783,41.3277954,72.0,38000.0
69.1689332,41.3488728,40.41,25000.0
69.169096,41.284586,57.0,36533.333333333336
69.1692951,41.2879715,54.32142857142857,35678.57142857143
69.1700401,41.3379756,68.19125,49750.0
69.1700401,41.3451812,96.27272727272727,69636.36363636363
69.1703261,41.3211218,63.0,41000.0
69.1704754,41.3397875,73.75,47375.0
69.1711557,41.2636404,57.0,42000.0
69.1712737,41.2796609,65.0,32000.0
69.1730881,41.2937955,54.23333333333333,34000.0
69.1731127,41.2757257,57.0,35000.0
69.1732997,41.2946618,33.0,23700.0
69.1737654,41.2924208,52.472368421052636,36134.21052631579
69.1755815,41.3386832,71.0,45000.0
69.1760005,41.2814223,64.49297297297296,42814.86486486487
69.1767738,41.3054153,59.0,32000.0
69.1781265,41.2601131,62.083333333333336,41083.333333333336
69.1782823,41.2960146,63.0,37000.0
69.1785536,41.3531468,76.0,39500.0
69.1788116,41.3351574,96.0,72000.0
69.1789807,41.2771751,61.986486486486484,41910.81081081081
69.1789807,41.2867929,66.5858064516129,44599.032258064515
69.1804667,41.3036372,164.0,163500.0
69.1804708,41.259418,61.55117886178862,42773.170731707316
69.1804708,41.2978921,73.17305194805195,48589.61038961039
69.1806212,41.2815959,62.333333333333336,37166.666666666664
69.1811302,41.2904325,80.0,82000.0
69.1819609,41.2657122,61.57631578947369,39860.52631578947
69.1819609,41.3378221,95.66666666666667,48500.0
69.1820981,41.2895921,48.0,25500.0
69.182706,41.2953086,64.3240350877193,42064.0350877193
69.1829207,41.3234238,96.0,75000.0
69.183103,41.2884048,38.0,27500.0
69.1838618,41.3116519,41.5,25500.0
69.1839655,41.2902787,68.83636363636364,51597.163636363635
69.1840356,41.2730577,105.0,70000.0
69.1841336,41.2846997,76.0,63000.0
69.1841876,41.2998429,93.0,63500.0
69.1849411,41.2710841,66.53448275862068,45871.68965517241
69.1852899,41.3630364,94.0,65000.0
69.1871763,41.290141,59.46666666666667,37406.666666666664
69.1871884,41.2750057,63.5,36750.0
69.1879213,41.281265,69.04878048780488,50619.48780487805
69.1880751,41.2881302,66.875,46125.0
69.188987,41.329543,202.0,190750.0
69.1897839,41.2855233,64.0,37199.8
69.1909015,41.2770171,54.75471698113208,40456.56603773585
69.1909015,41.2962523,62.462222222222216,43907.38888888889
69.191274,41.2990269,48.0,39000.0
69.1916465,41.2729489,58.833333333333336,41345.833333333336
69.1916465,41.2885792,68.0,49500.0
69.1924284,41.2721373,33.0,24700.0
69.1926482,41.3595375,171.0,81000.0
69.1931366,41.3621443,62.855714285714285,36071.42857142857
69.1952565,41.3268984,80.2,57708.4
69.1953608,41.3539187,104.92,54000.0
69.1957173,41.3289988,40.0,23000.0
69.1959189,41.2573956,89.63636363636364,70300.0
69.1961168,41.271386,58.76190476190476,39773.01587301587
69.1962495,41.2769954,87.0,58066.0
69.1962565,41.3569165,75.0,45000.0
69.1965399,41.3572628,58.0,28000.0
69.196601,41.312128,100.0,68000.0
69.1968618,41.2829494,61.05769230769231,47192.28846153846
69.1968618,41.2901628,58.285714285714285,39946.93877551021
69.197332,41.344197,139.0,150000.0
69.1978864,41.2414368,44.8,34500.0
69.1980236,41.3525405,130.0,110000.0
69.1986802,41.2628493,80.0,45000.0
69.1986902,41.3693776,59.714285714285715,35871.42857142857
69.1988148,41.3453662,98.5,90000.0
69.199176,41.340191,277.5,135000.0
69.200587,41.274633,53.857142857142854,38759.183673469386
69.2009595,41.2882297,37.333333333333336,25600.0
69.2024657,41.2999039,54.5,45250.0
69.2027548,41.2828663,60.89,41000.0
69.20291280000001,41.2985011,54.339999999999996,44760.0
69.2033584,41.2758017,80.5,51500.0
69.2037311,41.3461242,119.66666666666667,116495.0
69.2042191,41.3654815,91.0,37000.0
69.2045116,41.2975496,30.0,22300.0
69.2048432,41.3227628,74.0,46500.0
69.204872,41.3004131,105.0,78500.0
69.2049339,41.369849,56.0,32500.0
69.2052868,41.2753331,82.72727272727273,72045.45454545454
69.2052901,41.2701928,75.0,87000.0
69.2058023,41.2798237,91.22465753424657,71339.38356164383
69.2058023,41.2894422,53.28169014084507,40301.366197183095
69.2058488,41.3416105,56.0,38000.0
69.2060044,41.2858241,91.0,72000.0
69.2060118,41.3408342,97.02666666666666,73833.33333333333
69.2060703,41.2780874,49.0,40850.0
69.2061177,41.2552519,28.0,21500.0
69.2061662,41.2787231,33.0,23000.0
69.2064303,41.2889954,35.0,28800.0
69.2070187,41.3476118,50.0,37000.0
69.2071097,41.2802074,120.0,135000.0
69.207112,41.301383,45.0,28000.0
69.2072329,41.28777,65.0,47000.0
69.2072923,41.262065,60.916666666666664,40645.833333333336
69.2074731,41.2950648,48.42857142857143,33971.42857142857
69.2080374,41.1917977,99.33333333333333,41333.333333333336
69.2084214,41.2215302,84.0,70000.0
69.2087824,41.2250464,76.0,45500.0
69.2087824,41.2948119,47.215384615384615,36670.53846153846
69.2087824,41.3620902,74.0,34000.0
69.2087824,41.3668928,49.43666666666667,29666.666666666668
69.2089098,41.3383647,107.0,48000.0
69.2091083,41.3591123,40.0,23500.0
69.2094809,41.3597078,60.504999999999995,35558.333333333336
69.2095274,41.1993034,96.0,34500.0
69.209936,41.3255401,70.0,45000.0
69.2101886,41.2710539,58.25,40583.333333333336
69.2102725,41.3275402,76.03448275862068,59103.44827586207
69.2104295,41.2376003,46.0,35000.0
69.2108312,41.3001561,68.0,54333.333333333336
69.2108826,41.2694847,69.33333333333333,61166.666666666664
69.2109705,41.2919198,47.5,35750.0
69.2116463,41.2829101,35.0,26500.0
69.2117625,41.2207926,120.0,59000.0
69.2117625,41.2304214,61.02,40160.0
69.2117625,41.2857552,49.114285714285714,39968.77142857143
69.2119047,41.2832134,78.85499999999999,59500.0
69.2120768,41.2932062,60.0,46500.0
69.2125566,41.2828581,54.0,39000.0
69.2127759,41.2805371,123.0,76500.0
69.2131752,41.2761383,51.6,40000.0
69.2138028,41.2221938,77.75,47125.0
69.2139976,41.1929191,80.0,40000.0
69.2139976,41.2013486,80.0,50000.0
69.214141,41.3495849,82.61,48000.0
69.2141965,41.3011445,60.666666666666664,52666.666666666664
69.2143264,41.3239274,74.2,48200.0
69.21519,41.322304,72.0,48000.0
69.2152083,41.2773103,76.94545454545454,63986.36363636364
69.2152603,41.2867872,50.0,33500.0
69.215877,41.363281,107.0,102000.0
69.2158903,41.1953929,52.0,34900.0
69.2166518,41.2969317,32.0,28500.0
69.2169777,41.224783,98.0,65000.0
69.2169777,41.2813259,114.5,76406.5
69.2169777,41.2837307,49.4,40740.0
69.2174899,41.3212016,55.0,26000.0
69.2177163,41.2788539,60.44444444444444,45173.555555555555
69.2177228,41.2916859,72.03921568627452,54803.92156862745
69.2177228,41.3589705,66.36923076923077,40519.230769230766
69.2179253,41.3361857,86.0,55000.0
69.2181845,41.3328804,200.0,250000.0
69.2183644,41.3327788,97.0,74333.33333333333
69.2184678,41.1949642,63.0,26500.0
69.2185447,41.2171775,100.0,50000.0
69.2187028,41.3638683,58.0,29500.0
69.2188229,41.2661878,72.0,43750.0
69.2190139,41.2874733,112.0,165000.0
69.2191177,41.3320029,66.33333333333333,44333.333333333336
69.2194973,41.2754647,82.5,50250.0
69.219556,41.205091,71.0,41500.0
69.2195852,41.3214877,120.0,75000.0
69.2201916,41.2967186,65.0,30000.0
69.2206777,41.2583157,62.0,37000.0
69.2207029,41.220067,80.04285714285713,46106.857142857145
69.2209268,41.3274311,83.4,73200.0
69.2217633,41.2814312,65.0,43500.0
69.2219986,41.3303764,79.0,48000.0
69.2221106,41.354136,58.0,46000.0
69.2222403,41.28106,48.0,34500.0
69.2222748,41.2830467,36.166666666666664,30700.0
69.2223058,41.2829686,40.5,31499.5
69.2232092,41.3239567,76.55199999999999,71331.92
69.2232173,41.2930954,72.0,60000.0
69.2232563,41.2912965,77.66666666666667,110833.33333333333
69.2233103,41.3115769,58.0,37000.0
69.223683,41.265874,61.5,42750.0
69.223683,41.2807837,54.88404494382023,39564.04494382023
69.223683,41.2855934,42.8,39142.2
69.223683,41.3240567,74.2,48600.0
69.2238884,41.3240339,70.0,44000.0
69.223963,41.2914153,55.57142857142857,43428.57142857143
69.2241603,41.2677499,50.0,65000.0
69.224369,41.2664757,80.0,42000.0
69.2245267,41.2759136,40.0,28757.14285714286
69.2248552,41.2825142,52.0,37400.0
69.2251673,41.2202309,85.92333333333333,57276.666666666664
69.2253766,41.2782761,30.0,27500.0
69.2254764,41.2638329,87.11935483870967,91489.74193548386
69.225679,41.336424,160.0,122500.0
69.2257684,41.2135863,78.75,52136.125
69.2261213,41.3390184,98.28571428571429,82571.42857142857
69.2266631,41.2115569,66.0,31507.0
69.2271036,41.2867814,31.0,24000.0
69.227256,41.300608,76.0,45000.0
69.2278644,41.2062435,80.57142857142857,54428.57142857143
69.2281531,41.210633,72.546,41719.34
69.2281531,41.3645355,82.98538461538462,58296.346153846156
69.2283298,41.2894304,121.5,190833.33333333334
69.2284681,41.287044,80.0,85000.0
69.228478,41.270004,55.5,52977.77777777778
69.2287251,41.2824708,56.0,37500.0
69.2288981,41.207763,50.0,37000.0
69.2288981,41.2847707,56.94738095238095,43447.357142857145
69.2290098,41.2885649,64.46341463414635,56578.04878048781
69.2291542,41.2870921,120.0,56000.0
69.2301088,41.3058116,91.4,79600.0
69.2303882,41.3187089,85.18181818181819,67481.81818181818
69.230515,41.2995849,120.0,135000.0
69.2312263,41.3162377,71.876,49600.0
69.2315918,41.3399988,98.715,83250.0
69.2320856,41.3273237,62.75,44000.0
69.2325079,41.2703942,72.0,47500.0
69.2326232,41.2126773,77.66666666666667,39666.666666666664
69.232777,41.26605,80.0,75000.0
69.2328752,41.3661134,70.0,41000.0
69.2334902,41.3248528,92.5,73500.0
69.2347072,41.3305443,93.25,81249.75
69.2349547,41.304453,104.0,60000.0
69.2352546,41.2683685,55.0,65000.0
69.2356033,41.357531,62.05888888888889,36722.22222222222
69.2358398,41.3253322,341.0,250000.0
69.2361597,41.2907835,64.73333333333333,63032.6
69.2363483,41.363075,69.21714285714286,42642.857142857145
69.2365238,41.3057929,70.4,53400.0
69.2368973,41.3141622,88.79565217391304,63252.17391304348
69.2386868,41.186375,188.0,70000.0
69.2387696,41.305712,47.5,34500.0
69.2389163,41.2966126,80.0,66000.0
69.2400734,41.2994958,62.2325,43227.75
69.240584,41.2865169,56.75,56812.5
69.2409026,41.2774311,75.0,55000.0
69.2411909,41.3102239,90.25,84125.0
69.2412509,41.3160468,100.0,73000.0
69.2414123,41.3187145,130.0,94000.0
69.2415634,41.2167651,57.17142857142857,34142.857142857145
69.2415634,41.2673079,72.9375,50569.642857142855
69.2419499,41.3114122,116.13399999999999,90500.0
69.2419628,41.3424629,59.4,43600.0
69.242368,41.312785,100.0,66500.0
69.242896,41.267694,64.5,35850.0
69.2429048,41.3112812,71.66666666666667,44916.666666666664
69.243045,41.28803,90.0,75000.0
69.2431373,41.2820131,29.0,25000.0
69.243334,41.32025,48.0,65000.0
69.243421,41.2658719,83.0,77000.0
69.243806,41.3376966,69.8,40940.0
69.2441976,41.3017691,52.06,35400.0
69.2442985,41.2844088,20.0,14500.0
69.2444745,41.3167855,48.0,69000.0
69.2447233,41.2901355,148.0,230000.0
69.244895,41.3067057,140.0,103500.0
69.245305,41.2933182,90.0,89999.5
69.2454228,41.2876117,97.23076923076923,94153.84615384616
69.2460335,41.2765672,88.93548387096774,83845.51612903226
69.2463117,41.2616913,57.74,30000.0
69.2469102,41.2952816,45.0,40000.0
69.2472209,41.2880568,66.0,62500.0
69.2473656,41.2773019,95.03666666666668,89033.33333333333
69.2475081,41.3275084,92.0,50000.0
69.2475235,41.3333453,76.74074074074075,65722.22222222222
69.2475767,41.3408681,59.31,40000.0
69.2480426,41.2614743,62.0,28000.0
69.24811,41.3272955,81.8,62240.0
69.2484841,41.316655,96.5,114000.0
69.2484865,41.2999586,59.5,53929.0
69.2487178,41.3090172,87.5,111000.0
69.2489174,41.2788969,69.0,57750.0
69.2492835,41.3108248,80.0,75000.0
69.2494578,41.2978698,70.0,77500.0
69.2494613,41.2894034,72.5,63500.0
69.2499664,41.3036854,105.0,126000.0
69.2499956,41.2110233,24.0,15500.0
69.2500841,41.3312214,100.0,71000.0
69.2502778,41.2847222,65.0,60500.0
69.250422,41.331895,69.78571428571429,45914.28571428572
69.2505036,41.3242925,84.5,61324.95
69.2512486,41.2697288,77.66666666666667,51680.555555555555
69.2517707,41.348243,42.0,35000.0
69.2527386,41.3289182,109.97,99019.09523809524
69.2533368,41.2668342,67.0,43500.0
69.2534409,41.3068527,76.33333333333333,63833.333333333336
69.2535719,41.2851776,51.965,32850.0
69.2537035,41.3546349,73.0,55000.0
69.2540609,41.3199434,83.375,77750.0
69.254078,41.355277,75.5,45000.0
69.2546579,41.3364873,83.18,55000.0
69.2550774,41.3493781,90.0,120000.0
69.2550845,41.3255305,64.75,52425.0
69.2552666,41.2818558,74.34482758620689,66814.74712643678
69.2552731,41.2955315,45.0,40000.0
69.2560774,41.3432641,110.0,63500.0
69.2567896,41.2823082,67.0,47000.0
69.2569758,41.2801633,59.0,52000.0
69.257071,41.320933,30.0,38500.0
69.2571715,41.28889,45.0,51750.0
69.2576355,41.2891883,52.0,41000.0
69.2577907,41.2886404,52.0,54000.0
69.2580291,41.2851023,110.0,285000.0
69.2582738,41.2892951,80.0,60200.0
69.2585422,41.2843902,113.85714285714286,128128.57142857143
69.2585528,41.2732104,55.5,36000.0
69.2586109,41.3011374,28.0,29000.0
69.2590749,41.2979414,93.5,151449.0
69.2595082,41.2986859,111.88888888888889,90555.55555555556
69.259765,41.3082169,85.0,84000.0
69.2599528,41.2712978,70.0,45000.0
69.259963,41.3246734,68.5,43250.0
69.2600528,41.2735022,55.0,37000.0
69.2601214,41.3042007,87.66666666666667,99250.0
69.2601886,41.3267124,65.63157894736842,53368.36842105263
69.2601933,41.2911414,76.602,71358.4857142857
69.26049,41.3747222,83.0,63000.0
69.2605146,41.2714311,78.0,85000.0
69.260746,41.3050864,69.83333333333333,74750.0
69.2611035,41.2911155,52.0,56000.0
69.2611824,41.327974,70.8,58940.0
69.2612589,41.2877746,82.66666666666667,81166.66666666667
69.2613523,41.2169022,58.5,29000.0
69.2616233,41.2789896,88.625,112462.5
69.2616787,41.3221852,70.125,64562.5
69.2618569,41.2926797,70.0,68000.0
69.2623015,41.3394051,82.0,80000.0
69.262388,41.296195,65.0,59166.666666666664
69.2624237,41.218274,70.41538461538461,31605.0
69.2624708,41.291835,75.0,68000.0
69.2626649,41.2929471,48.5,51000.0
69.2628549,41.2709232,82.0,56000.0
69.2628833,41.3377896,26.0,18500.0
69.2631768,41.2854202,91.27272727272727,101227.27272727272
69.2636285,41.3011918,92.0,93000.0
69.2637523,41.3464064,125.0,110000.0
69.2637958,41.3348171,65.0,45500.0
69.2638823,41.3051824,64.53846153846153,66679.48717948717
69.2639594,41.3068019,42.0,43000.0
69.2646587,41.3683947,64.875,41452.958333333336
69.264801,41.329792,100.0,85000.0
69.2648035,41.297791,82.0,75000.0
69.2650786,41.2444497,59.25,26756.5
69.2654037,41.3391066,91.0,55000.0
69.2660649,41.3701094,61.5,41500.0
69.2660932,41.3180593,78.0,98000.0
69.266136,41.30566,100.0,85000.0
69.266246,41.2845992,82.33333333333333,73983.33333333333
